street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
KAISER-FRIEDRICH-STR. / ZILLESTR.,1,2017,24,13.3013073,52.5134529,,2,,,4436919-4495207
KAISERIN-AUGUSTA-ALLEE,2,2017,24,13.3161733161641,52.5257887388607,0.13688276518123701,1,1524.73357600059,2840.7574039535434,4403874
KAISERIN-AUGUSTA-ALLEE / SÖMMERINGSTR. / MIERENDORFFPLATZ,1,2017,24,13.3060941,52.525676000000004,,3,,,4403874-4410417-4475675
KANTSTR.,2,2017,24,13.3146008712579,52.5061750589713,1.0,1,5330.43082700334,5330.43082700334,4396016
KANTSTR. / WILMERSDORFER STR.,2,2017,24,13.306763400000001,52.50668095,,2,,,4396016-4436887
KNOBELSDORFFSTR. / SCHLOßSTR. / ZILLESTR.,2,2017,24,13.29689695,52.51354705,,3,,,4475630-4495207-4515856
KNOBELSDORFFSTR. / SOPHIE-CHARLOTTEN-STR.,1,2017,24,13.2883877,52.5130786,,2,,,4446513-4515856
KRUMME STR.,1,2017,24,13.3096146055649,52.5103854055063,0.23070902294473705,1,1300.92997433851,2301.7236653778605,4436885
KRUMME STR. / OTTO-SUHR-ALLEE / WARBURGZEILE,2,2017,24,13.310466725,52.516138624999996,,3,,,4403985-4436885-4556844
KRUMME STR. / PESTALOZZISTR.,1,2017,24,13.3094369,52.5078775,,2,,,4436885-4490163
KRUMME STR. / WILMERSDORFER STR. / STUTTGARTER PLATZ,2,2017,24,13.3070022,52.5056387,,3,,,4436885-4436887-25369033
KURFÜRSTENDAMM,4,2017,24,13.3108045545273,52.5003108271804,0.9819771293084335,1,7260.44307913,7391.297105908639,4389412
KURFÜRSTENDAMM / LEIBNIZSTR.,1,2017,24,13.313055949999999,52.5006157,,2,,,4389412-4402675
LEWISHAMSTR. / WILMERSDORFER STR.,1,2017,24,13.3068469,52.5007679,,2,,,4436887-4436888
LISE-MEITNER-STR.,2,2017,24,13.3062998796794,52.5305464965799,0.21021779884508146,1,982.852672826986,1759.092220183278,4471991
LOHMEYERSTR.,1,2017,24,13.3014853155172,52.5193598874742,0.3635537433198478,1,425.089702023656,695.6364516298931,4471191
LOHMEYERSTR. / OTTO-SUHR-ALLEE,2,2017,24,13.30126365,52.5190919,,2,,,4403985-4471191
MAX-DOHRN-STR. / LISE-MEITNER-STR.,1,2017,24,13.3059626,52.5318691,,2,,,4446677-4471991
MIERENDORFFPLATZ,1,2017,24,13.3047352274305,52.5256860821804,0.5160492446559418,1,739.591807861378,1097.5178219221693,4475675
