street,count,year,directorate,lat,lng,features
BAHNHOFSTR. / BERLINER STR. / PASEWALKER STR. / ROSENTHALER STR.,4,2015,13,13.424971553551467,52.58367475547178,4631700-4776203-4776771-19435555
BAHNHOFSTR. / BLANKENBURGER WEG / PANKSTR.,1,2015,13,13.4366685,52.5925359,4776771-4776775-19435661
BERLINER STR.,11,2015,13,13.4126908669094,52.5628072028975,4631700
BERLINER STR. / BINZSTR.,1,2015,13,13.413012,52.5630239,4631700-114586158
BERLINER STR. / BLANKENFELDER STR. / HAUPTSTR. / SCHÖNHAUSER STR.,1,2015,13,13.404671966666667,52.595655566666665,4045656-4631700-4777025-35313212
BERLINER STR. / BREITE STR.,2,2015,13,13.4098491,52.5710863,4631700-4631947
BERLINER STR. / BRENNERSTR. / MÜHLENSTR. / VINETASTR.,4,2015,13,13.413202876349382,52.5588259007258,4631700-10575630-35573583-146173206
BERLINER STR. / ELSA-BRÄNDSTRÖM-STR.,3,2015,13,13.4134024,52.5599309,4631700-23845949
BERLINER STR. / GRANITZSTR. / KISSINGENSTR.,4,2015,13,13.41301975,52.5663531,4631700-4632067-144945039
BERLINER STR. / HADLICHSTR.,2,2015,13,13.4120591,52.5682486,4631700-4776148
BERLINER STR. / SCHULSTR.,1,2015,13,13.4113011,52.5696287,4631700-172248643
BEUTHSTR.,2,2015,13,13.4079336219913,52.5867039644422,4777089
BEUTHSTR. / DIETZGENSTR. / PLATANENSTR.,1,2015,13,13.402643099999999,52.585532900000004,4764689-4764829-4777089
BLANKENBURGER STR.,3,2015,13,13.4181932648739,52.5842311056913,4776611
BLANKENBURGER STR. / DIETZGENSTR. / OSSIETZKYPLATZ,4,2015,13,13.40400545,52.5812048,4764689-4776611-26795568
BLANKENBURGER STR. / ELISABETH-CHRISTINEN-STR.,1,2015,13,13.4198531,52.584719,4776611-4776621
BLANKENBURGER STR. / GRUMBKOWSTR.,1,2015,13,13.423608349999999,52.58578265,4776611-4776633
BLANKENBURGER STR. / LINDENBERGER STR.,1,2015,13,13.4176446,52.5840881,4776611-22875171
BLANKENFELDER CHAUSSEE,2,2015,13,13.3959360564856,52.6130089401601,4803116
BLANKENFELDER CHAUSSEE / HAUPTSTR.,1,2015,13,13.385806200000001,52.609878,4045656-4803116
BLANKENFELDER STR. / GARTENSTR.,1,2015,13,13.428937,52.6026402,16419385-35313212
BLANKENFELDER STR. / ROSENTHALER WEG,1,2015,13,13.4200029,52.606282,4407913-35313212
BLEICHERODER STR.,1,2015,13,13.423094921887,52.5758429555734,4776154
BLEICHERODER STR. / MENDELSTR. / STIFTSWEG,1,2015,13,13.4189137,52.575,4776154-4776166-138166311
BORKUMSTR.,1,2015,13,13.4170032333061,52.5654893274365,123959488
BREITE STR.,3,2015,13,13.4079018274382,52.5702413360264,4631947
BUCHHOLZER STR. / GRUMBKOWSTR.,1,2015,13,13.4194235,52.5914504,4776633-4777064
BUCHHORSTER STR. / HAUPTSTR. / KASTANIENALLEE / SCHÖNHOLZER WEG,1,2015,13,13.371148300000002,52.59076323333334,4045656-4777290-25957604-35149993
BUCHHORSTER STR. / SEEGERSTR.,1,2015,13,13.3675841,52.5913614,4765042-35149993
CRUSEMARKSTR.,1,2015,13,13.4112912467808,52.5745257148966,21775474
CUNISTR.,1,2015,13,13.4238229533639,52.6088154295399,16308934
DAMEROWSTR.,2,2015,13,13.4223180362352,52.5734878590114,4631946
DIETZGENSTR.,2,2015,13,13.4027407418101,52.59290150731,4764689
DIETZGENSTR. / KASTANIENALLEE,1,2015,13,13.4027779,52.5931597,4764689-4777290
DIETZGENSTR. / OSSIETZKYPLATZ / HERMANN-HESSE-STR.,1,2015,13,13.4037922,52.5809268,4764174-4764689-26795568
DIETZGENSTR. / SCHILLERSTR. / SCHÖNHAUSER STR.,1,2015,13,13.392673975000001,52.588224749999995,4764689-4765047-4777025
DIETZGENSTR. / WACKENBERGSTR.,1,2015,13,13.4034641,52.5829488,4764689-4777029
DOLOMITENSTR. / MAXIMILIANSTR.,1,2015,13,13.404207,52.5613308,4631988-4631994
DOLOMITENSTR. / MÜHLENSTR.,1,2015,13,13.4083447,52.5637163,4631988-10575630
ELISABETHWEG / OSSIETZKYSTR.,1,2015,13,13.407182,52.574605,4764652-4764658
ELSA-BRÄNDSTRÖM-STR. / NEUMANNSTR. (ENDE),6,2015,13,13.422344200000001,52.559841649999996,4631542-23845949
ELSA-BRÄNDSTRÖM-STR. / PRENZLAUER PROMENADE,2,2015,13,13.4279251,52.5606026,4484351-23845949
ESPLANADE,1,2015,13,13.406817861956,52.5578541025748,123384345
ESPLANADE / STAVANGERSTR.,1,2015,13,13.4127773,52.5575618,4782311-123384345
FLORAPROMENADE,1,2015,13,13.4044410346588,52.5637087922606,144842849
FLORASTR.,2,2015,13,13.4039660910225,52.5655126115084,4632868
FLORASTR. / MÜHLENSTR.,2,2015,13,13.4065512,52.5653776,4632868-10575630
FRIEDRICH-ENGELS-STR. / NORDENDSTR.,1,2015,13,13.3881433,52.5888589,4764795-38304188
GALENUSSTR. / PASEWALKER STR.,4,2015,13,13.4287919,52.5816379,4776149-4776203
GÖRSCHSTR.,1,2015,13,13.4007527786019,52.5652292905424,4632870
GRABBEALLEE,5,2015,13,13.398776926789,52.575482059266,4764190
GRABBEALLEE / HEINRICH-MANN-STR. / SCHÖNHOLZER STR. / SCHÖNHOLZER BRÜCKE (PANKE),2,2015,13,13.398260533333334,52.57101533333334,4764162-4764166-4764190-184581435
GRABBEALLEE / MAJAKOWSKIRING,1,2015,13,13.3992188,52.574224,4764190-4764676
GRABBEALLEE / PASTOR-NIEMÖLLER-PLATZ,1,2015,13,13.3985082,52.5799107,4764190-4764196
GRABBEALLEE / PAUL-FRANCKE-STR.,1,2015,13,13.3988146,52.5724002,4764190-34618182
GRABBEALLEE / TSCHAIKOWSKISTR.,1,2015,13,13.3982868,52.5768303,4764190-4764208
GRANITZSTR.,2,2015,13,13.4202386154764,52.5697982613788,144945039
GRANITZSTR. / GRANITZSTR.,1,2015,13,13.4202386154764,52.5697982613788,144945039
GRANITZSTR. / HAßFURTER WEG,1,2015,13,13.4266326,52.5717696,124126500-144945039
GRANITZSTR. / PRENZLAUER PROMENADE / ROTHENBACHSTR.,2,2015,13,13.428782649999999,52.5719513,4484351-25833007-144945039
GÜLLWEG / WALDSTR. / HERMANN-HESSE-STR.,4,2015,13,13.400400574999999,52.580394975,4764174-4764684-4777277
HADLICHSTR.,2,2015,13,13.4149689878437,52.5695737174334,4776148
